"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 16 11:15:31 GMT 2023","Sun Jul 16 11:15:40 GMT 2023","8808","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case2","[3] Турция, Турции",""
"passed","Sun Jul 16 11:16:20 GMT 2023","Sun Jul 16 11:16:24 GMT 2023","3818","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case5","Проверка невалидного запроса",""
"passed","Sun Jul 16 11:14:41 GMT 2023","Sun Jul 16 11:15:11 GMT 2023","30139","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case1","Переходы -> категория - сортировка товара по скидке - добавление в корзину",""
"passed","Sun Jul 16 11:15:40 GMT 2023","Sun Jul 16 11:15:51 GMT 2023","10609","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case3","[1] Nike",""
"passed","Sun Jul 16 11:15:22 GMT 2023","Sun Jul 16 11:15:31 GMT 2023","8849","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case2","[2] США, США",""
"passed","Sun Jul 16 11:15:11 GMT 2023","Sun Jul 16 11:15:22 GMT 2023","11337","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case2","[1] Германия, Германии",""
"passed","Sun Jul 16 11:16:18 GMT 2023","Sun Jul 16 11:16:20 GMT 2023","1859","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case4","Проверка ошибок в консоли",""
"passed","Sun Jul 16 11:15:51 GMT 2023","Sun Jul 16 11:16:08 GMT 2023","17435","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case3","[2] Adidas",""
"passed","Sun Jul 16 11:16:08 GMT 2023","Sun Jul 16 11:16:18 GMT 2023","9889","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case3","[3] ZARA",""
