"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 16 11:24:35 GMT 2023","Sun Jul 16 11:24:45 GMT 2023","10736","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case2","[1] Германия, Германии",""
"passed","Sun Jul 16 11:25:31 GMT 2023","Sun Jul 16 11:25:34 GMT 2023","2956","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case4","Проверка ошибок в консоли",""
"passed","Sun Jul 16 11:24:54 GMT 2023","Sun Jul 16 11:25:03 GMT 2023","8505","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case2","[3] Турция, Турции",""
"passed","Sun Jul 16 11:25:34 GMT 2023","Sun Jul 16 11:25:37 GMT 2023","2909","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case5","Проверка невалидного запроса",""
"passed","Sun Jul 16 11:25:12 GMT 2023","Sun Jul 16 11:25:20 GMT 2023","8834","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case3","[2] Adidas",""
"passed","Sun Jul 16 11:25:03 GMT 2023","Sun Jul 16 11:25:12 GMT 2023","8898","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case3","[1] Nike",""
"passed","Sun Jul 16 11:24:46 GMT 2023","Sun Jul 16 11:24:54 GMT 2023","8639","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case2","[2] США, США",""
"passed","Sun Jul 16 11:24:21 GMT 2023","Sun Jul 16 11:24:35 GMT 2023","13263","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case1","Переходы -> категория - сортировка товара по скидке - добавление в корзину",""
"passed","Sun Jul 16 11:25:20 GMT 2023","Sun Jul 16 11:25:31 GMT 2023","10570","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case3","[3] ZARA",""
