"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 16 11:47:05 GMT 2023","Sun Jul 16 11:47:12 GMT 2023","6952","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case3","[2] Adidas",""
"passed","Sun Jul 16 11:46:35 GMT 2023","Sun Jul 16 11:46:43 GMT 2023","8264","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case2","[1] Германия, Германии",""
"passed","Sun Jul 16 11:46:51 GMT 2023","Sun Jul 16 11:46:58 GMT 2023","7125","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case2","[3] Турция, Турции",""
"passed","Sun Jul 16 11:46:43 GMT 2023","Sun Jul 16 11:46:51 GMT 2023","8060","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case2","[2] США, США",""
"passed","Sun Jul 16 11:47:21 GMT 2023","Sun Jul 16 11:47:23 GMT 2023","1452","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case4","Проверка ошибок в консоли",""
"passed","Sun Jul 16 11:46:19 GMT 2023","Sun Jul 16 11:46:34 GMT 2023","15368","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case1","Переходы -> категория - сортировка товара по скидке - добавление в корзину",""
"passed","Sun Jul 16 11:47:12 GMT 2023","Sun Jul 16 11:47:21 GMT 2023","9658","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case3","[3] ZARA",""
"passed","Sun Jul 16 11:47:23 GMT 2023","Sun Jul 16 11:47:25 GMT 2023","2109","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case5","Проверка невалидного запроса",""
"passed","Sun Jul 16 11:46:58 GMT 2023","Sun Jul 16 11:47:05 GMT 2023","6738","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case3","[1] Nike",""
