"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 16 11:52:20 GMT 2023","Sun Jul 16 11:52:24 GMT 2023","3786","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case5","Проверка невалидного запроса",""
"passed","Sun Jul 16 11:52:02 GMT 2023","Sun Jul 16 11:52:09 GMT 2023","7127","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case3","[2] Adidas",""
"passed","Sun Jul 16 11:52:09 GMT 2023","Sun Jul 16 11:52:18 GMT 2023","9835","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case3","[3] ZARA",""
"passed","Sun Jul 16 11:51:54 GMT 2023","Sun Jul 16 11:52:02 GMT 2023","8017","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case3","[1] Nike",""
"passed","Sun Jul 16 11:51:25 GMT 2023","Sun Jul 16 11:51:34 GMT 2023","9762","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case2","[1] Германия, Германии",""
"passed","Sun Jul 16 11:52:19 GMT 2023","Sun Jul 16 11:52:20 GMT 2023","1839","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case4","Проверка ошибок в консоли",""
"passed","Sun Jul 16 11:51:34 GMT 2023","Sun Jul 16 11:51:44 GMT 2023","9587","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case2","[2] США, США",""
"passed","Sun Jul 16 11:51:44 GMT 2023","Sun Jul 16 11:51:53 GMT 2023","9512","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case2","[3] Турция, Турции",""
"passed","Sun Jul 16 11:51:10 GMT 2023","Sun Jul 16 11:51:24 GMT 2023","14328","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case1","Переходы -> категория - сортировка товара по скидке - добавление в корзину",""
