"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Aug 13 19:44:43 GMT 2023","Sun Aug 13 19:45:10 GMT 2023","26442","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case2","[3] Турция, Турции",""
"passed","Sun Aug 13 19:44:43 GMT 2023","Sun Aug 13 19:44:59 GMT 2023","16274","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case5","Проверка невалидного запроса",""
"passed","Sun Aug 13 19:44:44 GMT 2023","Sun Aug 13 19:45:14 GMT 2023","30648","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case2","[2] США, США",""
"passed","Sun Aug 13 19:44:44 GMT 2023","Sun Aug 13 19:45:15 GMT 2023","31647","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case3","[3] ZARA",""
"passed","Sun Aug 13 19:44:43 GMT 2023","Sun Aug 13 19:45:13 GMT 2023","29507","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case1","Переходы -> категория - сортировка товара по скидке - добавление в корзину",""
"passed","Sun Aug 13 19:44:44 GMT 2023","Sun Aug 13 19:44:55 GMT 2023","11500","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case4","Проверка ошибок в консоли",""
"passed","Sun Aug 13 19:44:44 GMT 2023","Sun Aug 13 19:45:14 GMT 2023","30003","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case3","[1] Nike",""
"passed","Sun Aug 13 19:44:43 GMT 2023","Sun Aug 13 19:45:14 GMT 2023","30489","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case2","[1] Германия, Германии",""
"passed","Sun Aug 13 19:44:44 GMT 2023","Sun Aug 13 19:45:13 GMT 2023","29475","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case3","[2] Adidas",""
