"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 16 11:41:05 GMT 2023","Sun Jul 16 11:41:13 GMT 2023","8042","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case2","[1] Германия, Германии",""
"passed","Sun Jul 16 11:41:35 GMT 2023","Sun Jul 16 11:41:41 GMT 2023","6341","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case3","[2] Adidas",""
"passed","Sun Jul 16 11:41:21 GMT 2023","Sun Jul 16 11:41:28 GMT 2023","7511","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case2","[3] Турция, Турции",""
"passed","Sun Jul 16 11:40:53 GMT 2023","Sun Jul 16 11:41:05 GMT 2023","12409","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case1","Переходы -> категория - сортировка товара по скидке - добавление в корзину",""
"passed","Sun Jul 16 11:41:13 GMT 2023","Sun Jul 16 11:41:21 GMT 2023","7348","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case2","[2] США, США",""
"passed","Sun Jul 16 11:41:52 GMT 2023","Sun Jul 16 11:41:54 GMT 2023","2691","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case5","Проверка невалидного запроса",""
"passed","Sun Jul 16 11:41:50 GMT 2023","Sun Jul 16 11:41:52 GMT 2023","1299","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case4","Проверка ошибок в консоли",""
"passed","Sun Jul 16 11:41:28 GMT 2023","Sun Jul 16 11:41:35 GMT 2023","6652","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case3","[1] Nike",""
"passed","Sun Jul 16 11:41:41 GMT 2023","Sun Jul 16 11:41:50 GMT 2023","8972","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case3","[3] ZARA",""
