"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 16 11:19:08 GMT 2023","Sun Jul 16 11:19:17 GMT 2023","9136","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case2","[2] США, США",""
"passed","Sun Jul 16 11:19:42 GMT 2023","Sun Jul 16 11:19:52 GMT 2023","10389","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case3","[3] ZARA",""
"passed","Sun Jul 16 11:19:33 GMT 2023","Sun Jul 16 11:19:42 GMT 2023","8488","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case3","[2] Adidas",""
"passed","Sun Jul 16 11:19:52 GMT 2023","Sun Jul 16 11:19:54 GMT 2023","1963","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case4","Проверка ошибок в консоли",""
"passed","Sun Jul 16 11:19:25 GMT 2023","Sun Jul 16 11:19:33 GMT 2023","7830","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case3","[1] Nike",""
"passed","Sun Jul 16 11:18:58 GMT 2023","Sun Jul 16 11:19:08 GMT 2023","9584","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case2","[1] Германия, Германии",""
"passed","Sun Jul 16 11:19:17 GMT 2023","Sun Jul 16 11:19:25 GMT 2023","8371","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case2","[3] Турция, Турции",""
"passed","Sun Jul 16 11:18:42 GMT 2023","Sun Jul 16 11:18:58 GMT 2023","15798","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case1","Переходы -> категория - сортировка товара по скидке - добавление в корзину",""
"passed","Sun Jul 16 11:19:54 GMT 2023","Sun Jul 16 11:19:57 GMT 2023","2767","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case5","Проверка невалидного запроса",""
